discrete,segment,set,expectdiscrete,expectsegment,expectset
0.00976491,0.108828,0.0982665,0.986256,0.999241,0.992492
0.00975501,0.108816,0.0982211,0.985256,0.999125,0.992033
0.00974515,0.108819,0.09821,0.98426,0.999153,0.991921
0.00974844,0.108835,0.0982723,0.984592,0.999302,0.99255
0.0097517,0.108841,0.0982324,0.984922,0.999354,0.992148
0.00975235,0.108851,0.0982318,0.984987,0.999453,0.992141
0.00976079,0.108839,0.0982156,0.985839,0.999337,0.991978
0.00975363,0.108805,0.0981814,0.985117,0.999032,0.991632
0.00975427,0.108788,0.0981525,0.985181,0.998871,0.99134
0.00976779,0.108742,0.098116,0.986547,0.99845,0.990972
0.00976325,0.108748,0.0981492,0.986088,0.998503,0.991306
0.00976385,0.108715,0.0981667,0.986149,0.998203,0.991484
0.0097619,0.108711,0.0981561,0.985952,0.998163,0.991376
0.00975996,0.108709,0.0981837,0.985755,0.998146,0.991656
0.00975293,0.108702,0.0981934,0.985046,0.998083,0.991754
0.00976371,0.108708,0.0982234,0.986135,0.998136,0.992056
0.00976684,0.108711,0.098238,0.986451,0.998166,0.992204
0.00977248,0.108704,0.0982425,0.987021,0.998103,0.992249
0.00978061,0.108662,0.0982293,0.987842,0.997717,0.992116
0.00978367,0.108658,0.0982965,0.988151,0.997679,0.992795
0.0097767,0.108641,0.0982858,0.987446,0.997525,0.992686
0.00977226,0.108622,0.0983025,0.986998,0.99735,0.992856
0.00977033,0.108618,0.0982594,0.986803,0.997313,0.99242
0.0097709,0.108629,0.0982886,0.986861,0.997413,0.992715
0.00977147,0.10864,0.0983077,0.986918,0.997513,0.992908
0.00977699,0.108606,0.0983317,0.987476,0.997203,0.99315
0.00979482,0.108624,0.098326,0.989277,0.99737,0.993092
0.00979779,0.108556,0.0983326,0.989577,0.996746,0.993159
0.00980074,0.108521,0.098344,0.989875,0.996417,0.993275
0.00980123,0.10849,0.098375,0.989924,0.996135,0.993588
0.00980416,0.108523,0.0983863,0.99022,0.996439,0.993702
0.00981683,0.108539,0.0983635,0.9915,0.996584,0.993471
0.00980755,0.108562,0.0983382,0.990562,0.996795,0.993216
0.00980559,0.108551,0.0983471,0.990364,0.996693,0.993306
0.00980848,0.108574,0.098339,0.990656,0.996903,0.993224
0.00982102,0.108596,0.0983575,0.991923,0.997113,0.993411
0.00982627,0.108583,0.0983494,0.992453,0.996989,0.993329
0.00981707,0.108565,0.0983077,0.991524,0.996821,0.992908
0.00981511,0.108599,0.0982854,0.991326,0.997139,0.992683
0.00982512,0.10861,0.0983087,0.992337,0.997236,0.992917
0.00981361,0.108537,0.0982984,0.991174,0.996565,0.992814
0.00983072,0.108569,0.0983072,0.992903,0.996859,0.992903
0.00981924,0.108518,0.0982874,0.991744,0.996389,0.992703
0.00982204,0.108545,0.0982512,0.992026,0.996639,0.992337
0.00983192,0.108544,0.0982412,0.993024,0.996627,0.992236
0.00984175,0.108535,0.0982665,0.994017,0.99655,0.992492
0.00984212,0.108553,0.0983318,0.994054,0.996712,0.993151
0.0098378,0.108561,0.0983404,0.993617,0.996786,0.993238
0.00983818,0.10855,0.0983279,0.993656,0.996688,0.993112
0.00985491,0.108584,0.0983388,0.995346,0.996998,0.993222
0.00985059,0.108571,0.0983357,0.994909,0.996878,0.993191
0.00984396,0.10859,0.098314,0.99424,0.997058,0.992971
0.00983736,0.10858,0.0983133,0.993573,0.99696,0.992964
0.00982848,0.108567,0.0982778,0.992676,0.996842,0.992606
0.00982656,0.108593,0.0982795,0.992483,0.997084,0.992623
0.00982696,0.108615,0.0982765,0.992523,0.997283,0.992593
